"GSS_CODE","co2","nox","pm10","pm2.5"
"E05000405",0.0034373573770634,7.03698439849844e-06,1.12987269461557e-06,7.27407960057481e-07
"E05000414",0.0140396236911922,2.87871119951734e-05,4.67116881649358e-06,2.73032005699149e-06
"E05000401",0.0120219330301938,2.17100598547801e-05,2.22563027784878e-06,2.17273933421453e-06
"E05000400",0.0109432620278365,2.05428000013487e-05,3.24725785836906e-06,2.2180165350878e-06
"E05000402",0.0117585708571089,2.01307966424986e-05,2.33391245516131e-06,2.61259850758764e-06
"E05000406",0.0113605708357956,2.10271391005544e-05,2.99890364866754e-06,1.58231564712093e-06
"E05000404",0.0089340107430839,1.43812632887807e-05,2.12079697332647e-06,2.1974300973437e-06
"E05000413",0.0138272686384781,2.34835479531238e-05,3.48627331584448e-06,2.52466707523349e-06
"E05000410",0.0112093422011327,1.73117073857847e-05,2.69585097328224e-06,2.37885725396817e-06
"E05000412",0.017055949459685,4.23858956241837e-05,3.06598818237467e-06,2.71544648736094e-06
"E05000408",0.0206025750661408,5.97784648580647e-05,4.98284578987473e-06,3.44102282172602e-06
"E05000403",0.0202057978223261,3.86369011833757e-05,4.99365159496629e-06,3.73141867946439e-06
"E05000409",0.0202592026245581,8.26098506905045e-05,3.76320900579305e-06,2.91893633765662e-06
"E05000407",0.0113738685016831,1.55066127407268e-05,2.07314508139685e-06,2.17972788473236e-06
"E05000411",0.0133274423108002,2.34083732373963e-05,3.62362146968837e-06,2.48780660072218e-06
"E05000415",0.0134386042379994,1.88110201038456e-05,2.69996365708635e-06,2.2807592199821e-06
"E05000150",0.00391032815882343,6.35170787602724e-06,9.27885905620241e-07,8.13258733175102e-07
"E05000162",0.00502223949407827,7.65644977474682e-06,1.12570803012575e-06,9.51359014038318e-07
"E05000151",0.00832344829732401,1.53391135981175e-05,2.36629129856989e-06,1.72801486335831e-06
"E05000167",0.0149181338002845,3.75747970121851e-05,4.46773555953315e-06,2.50354168069085e-06
"E05000156",0.0054682243453621,8.76089562248897e-06,1.25018282628368e-06,9.8130155834044e-07
"E05000159",0.0105424667003692,2.04636099959933e-05,2.94402435864e-06,2.17766087217961e-06
"E05000160",0.00545876511311519,8.4111821980552e-06,1.20358618616562e-06,1.07673949335331e-06
"E05000155",0.00478407546285389,8.84025192513247e-06,1.34763565151228e-06,8.89976212129509e-07
"E05000153",0.0143687826875777,3.01777876559802e-05,3.51058530930642e-06,2.23522463464619e-06
"E05000149",0.0165164799692229,3.90353940726184e-05,3.95855359587387e-06,3.05607187903683e-06
